"Ticket";"Symbol";"Type";"Open price";"Close price";"Open time";"Close time";"Size";"Profit/Loss";"Stop Loss price level";"Profit Target price level";"Balance";"Slippage ($)";"Sample type";"Close type";"Time in trade";"Comm/Swap"
"1";"USTEC_ICM_UTC2";"Buy";"4226.0";"4232.6";"2015.01.02 18:00:00";"2015.01.02 22:55:00";"30.0";"198.00";"4026.00000";"4276.00000";"50198.00";"0.00";"IST";"End Of Friday (Time)";"4h 55m";"-0.00"
"2";"USTEC_ICM_UTC2";"Buy";"4188.1";"4238.1";"2015.01.05 17:00:00";"2015.01.08 18:00:00";"30.0";"950.64";"3988.10010";"4238.10010";"51148.64";"0.00";"IST";"PT";"3d 1h 0m";"-549.36"
"3";"USTEC_ICM_UTC2";"Buy";"4214.0";"4216.9";"2015.01.09 18:00:00";"2015.01.09 22:55:00";"30.0";"87.00";"4014.00000";"4264.00000";"51235.64";"0.00";"IST";"End Of Friday (Time)";"4h 55m";"-0.00"
"4";"USTEC_ICM_UTC2";"Buy";"4172.0";"4222.0";"2015.01.12 17:00:00";"2015.01.13 16:33:00";"30.0";"1316.88";"3972.00000";"4222.00000";"52552.52";"0.00";"IST";"PT";"23h 33m";"-183.12"
"5";"USTEC_ICM_UTC2";"Buy";"4182.9";"4141.0";"2015.01.13 20:45:00";"2015.01.16 22:55:00";"30.0";"-1806.36";"3982.89990";"4232.89990";"50746.16";"0.00";"IST";"End Of Friday (Time)";"3d 2h 10m";"-549.36"
"6";"USTEC_ICM_UTC2";"Buy";"4149.3";"4199.3";"2015.01.20 17:15:00";"2015.01.21 17:50:00";"30.0";"1316.88";"3949.30005";"4199.29980";"52063.04";"0.00";"IST";"PT";"1d 0h 35m";"-183.12"
"7";"USTEC_ICM_UTC2";"Buy";"4202.3";"4252.3";"2015.01.22 17:15:00";"2015.01.22 21:46:00";"30.0";"1500.00";"4002.30005";"4252.29980";"53563.04";"0.00";"IST";"PT";"4h 31m";"-0.00"
"8";"USTEC_ICM_UTC2";"Buy";"4190.8";"4240.8";"2015.01.27 16:45:00";"2015.01.28 07:33:00";"30.0";"1316.88";"3990.80005";"4240.79980";"54879.92";"0.00";"IST";"PT";"14h 48m";"-183.12"
"9";"USTEC_ICM_UTC2";"Buy";"4232.1";"4149.5";"2015.01.28 16:30:00";"2015.01.30 22:55:00";"30.0";"-2844.24";"4032.10010";"4282.10010";"52035.68";"0.00";"IST";"End Of Friday (Time)";"2d 6h 25m";"-366.24"
"10";"USTEC_ICM_UTC2";"Buy";"4115.0";"4165.0";"2015.02.02 17:00:00";"2015.02.02 18:35:00";"30.0";"1500.00";"3915.00000";"4165.00000";"53535.68";"0.00";"IST";"PT";"1h 35m";"-0.00"
